_Code;_Description
CBR00126782;"Чай ""TEAHOUSE"" Тенгри Кенийский гранулир. 250 гр"
CBR00128342;"Шоколад ""Roshen"" Экстрачерный целый лесн орех 100 гр кор"
CBR00128335;"Шоколад ""Roshen"" Экстрамол целый лесн орех 100 гр кор"
CBR00128293;"Шоколад ""Roshen""  Пористый белый цел. орех 100 гр кор"
CBR00108218;КАША ГЛАВПРОДУКТ РИС/ГУБЕР/ДОМ/ГОВЯ.340ГР/Ж/Б
CBR00106307;КАША ГЛАВПРОДУКТ ПЕРЛ/ГУБЕР/ДОМ/ГОВЯ.340ГР/Ж/Б
CBR00108221;"Консервы ""Главпродукт"" Тефтели в смет. соусе 325 гр ж/б"
CBR00116466;"Паштет ""Главпродукт"" Деликатесный с гусиной печенью 315 гр ж/б"
CBR00116467;"Паштет ""Главпродукт"" Деликатесный с гусиной печенью 90 гр ж/б"
CBR00116468;"Паштет ""Главпродукт"" Деревенск. с копчен. 315 гр ж/б"
CBR00116469;ПАШТЕТ ГЛАВПРОДУКТ ГУС/ПЕЧЕНЬ,240ГР,Ж/Б
CBR00116470;ПАШТЕТ ГЛАВПРОДУКТ ПЕЧЕН/ИНД/НЕЖ,240ГР,Ж/Б
CBR00116471;"Паштет ""Главпродукт"" Нежн. из печени с копчен 240 гр ж/б"
CBR00116473;"Паштет ""Главпродукт"" Нежный из гусиной печени 95 гр утюж"
CBR00116472;"Паштет ""Главпродукт"" Нежн. кур 315 гр ж/б"
CBR00116475;"Паштет ""Главпродукт"" Нежный с куриной печенью 90 гр ж/б"
CBR00116474;"Паштет ""Главпродукт"" Нежный из куриной печени 95 гр утюж"
CBR00116476;"Паштет ""Главпродукт"" Охотничий с утиной печенью 315 гр"
CBR00116477;"Паштет ""Главпродукт"" Праздничный 315 гр ж/б"
CBR00116492;ПАШТЕТ СЕМЕЙНЫЙ БЮДЖЕТ ГОВ/ПЕЧ,240ГР,Ж/Б
CBR00116491;ПАШТЕТ СЕМЕЙНЫЙ БЮДЖЕТ ГУС/ПЕЧ,240ГР,Ж/Б
CBR00116493;ПАШТЕТ СЕМЕЙНЫЙ БЮДЖЕТ КУР/ПЕЧ/НЕЖ,240ГР,Ж/Б
CBR00116478;"Паштет ""Главпродукт"" Столичный  315 гр ж/б"
CBR00121079;"Сгущенное молоко ""Главпродукт"" С сахар 380 гр"
CFO00001525;12
CBR00121085;СГУЩЁННОЕ МОЛОКО ГЛАВПРОДУКТ СТОЛИЧН.380ГР,Ж/Б
CBR00121087;СГУЩЕННОЕ МОЛОКО ГЛАВПРОДУКТ ЮБИЛЕЙНАЯ,270ГР
CBR00121088;СГУЩЁННОЕ МОЛОКО ГЛАВПРОДУКТ ЮБИЛЕЙН.380ГР
CBR00121083;"Сгущенное молоко ""Главпродукт"" С сахаром 270 гр"
CBR00121084;"Сгущенное молоко ""Главпродукт"" С сахаром 380 гр"
